stamp,log_run_id,source,gps_available,forced_dropout,model_loaded,model_ready,model_samples,model_sha256,model_target_mode,model_input_normalization,ann_x,ann_y,output_x,output_y,odom_x,odom_y,gps_x,gps_y,origin_source,origin_x,origin_y,fuzzy_alpha_ann,fuzzy_alpha_odom,fuzzy_velocity_error,input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14
67.880000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.301100697,0.189424320,1.301100697,0.189424320,2.307778704,1.582586723,2.050371394,0.093724939,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.440560312,0.002664060,-0.364979160,0.364988883,-0.000107573,0.276360680,0.276360701,-0.000215146,0.552721359,0.552721401,-0.000676425,0.313944737,0.398502351,0.227233716,-0.000846840,0.158264720
67.913000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.363775012,0.214925207,1.363775012,0.214925207,2.321001143,1.628568021,2.039322251,0.089384777,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.502134227,0.006021874,0.086671803,0.086880748,-0.000053155,0.276975316,0.276975321,-0.000106310,0.553950631,0.553950641,0.021266126,0.314634082,0.397576997,0.228555960,0.026601513,0.162862850
67.950000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.462524131,0.249579364,1.462524131,0.249579364,2.354016479,1.743503184,2.190343463,0.297170788,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.502787589,-0.012772251,0.858693120,0.858788102,-0.000065969,0.276992449,0.276992457,-0.000131938,0.553984897,0.553984913,0.021331673,0.314636141,0.397924127,0.231857493,0.026707048,0.174356366
68.003000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.468457003,0.261600306,1.468457003,0.261600306,2.360619773,1.766490882,2.088234799,0.080061416,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.503380087,-0.012772251,0.858693120,0.858788102,-0.000065969,0.276992449,0.276992457,-0.000131938,0.553984897,0.553984913,0.021331673,0.314636141,0.397727071,0.232517823,0.026693823,0.176655136
68.065000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.423808552,0.305580243,1.423808552,0.305580243,2.380455580,1.835436902,2.298768855,-0.080802741,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.499469157,-0.006295013,0.257704387,0.257781260,-0.000064768,0.276950046,0.276950054,-0.000129537,0.553900093,0.553900108,0.020438160,0.314608071,0.397690886,0.234501403,0.025570235,0.183549738
68.108000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.388529008,0.338077648,1.388529008,0.338077648,2.393679308,1.881407834,2.296469076,0.073997277,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.462326824,0.005377903,0.031615393,0.032069533,-0.000055629,0.276590991,0.276590996,-0.000111259,0.553181981,0.553181993,0.008149050,0.314221997,0.398793547,0.235823776,0.010211743,0.188146831
68.152000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.410790411,0.358248927,1.410790411,0.358248927,2.406915222,1.927366630,2.190089046,0.217365308,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.478193256,-0.000171954,0.039292081,0.039292458,-0.000049529,0.276741200,0.276741205,-0.000099059,0.553482401,0.553482410,0.013347842,0.314385322,0.398291971,0.237147368,0.016711566,0.192742711
68.211000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.443391579,0.393196721,1.443391579,0.393196721,2.426794810,1.996316161,2.256774207,0.195466957,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.501476841,-0.001980923,-0.031910299,0.031971726,-0.000061772,0.276982741,0.276982748,-0.000123543,0.553965483,0.553965497,0.021000169,0.314625727,0.398064786,0.239135326,0.026300085,0.199637664
68.259000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.385564743,0.426180164,1.385564743,0.426180164,2.440044305,2.042272136,2.578102611,0.119644103,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.406324071,0.007881656,-0.183271814,0.183441213,-0.000039391,0.276024897,0.276024900,-0.000078782,0.552049795,0.552049801,-0.012991715,0.313557840,0.398389928,0.240460276,-0.016269191,0.204233262
68.304000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.448820332,0.458860627,1.448820332,0.458860627,2.459916925,2.111213049,2.381912703,0.121874770,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.458668576,0.002482270,-0.228011851,0.228025362,-0.000059903,0.276545355,0.276545362,-0.000119807,0.553090711,0.553090724,0.005806404,0.314148401,0.398556220,0.242447538,0.007271012,0.211127353
68.350000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.594452028,0.492485466,1.594452028,0.492485466,2.473153497,2.157165124,2.548145027,0.224803285,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.536752808,0.006596964,0.633581238,0.633615581,-0.000043659,0.277315849,0.277315853,-0.000087317,0.554631699,0.554631706,0.033085638,0.315005403,0.396127960,0.243771195,0.041323097,0.215722560
68.400000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.552789392,0.510335539,1.552789392,0.510335539,2.486374540,2.203147667,2.539574893,0.077652395,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.510756059,0.002002107,0.375587606,0.375592943,-0.000039523,0.277066649,0.277066652,-0.000079046,0.554133297,0.554133303,0.024731185,0.314742940,0.397433774,0.245093299,0.030941025,0.220320815
68.451000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.462657732,0.536149243,1.462657732,0.536149243,2.506200326,2.272094170,2.402027092,0.069105258,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.435704607,-0.004452185,-0.149758019,0.149824184,-0.000076676,0.276314489,0.276314500,-0.000153351,0.552628979,0.552629000,-0.000637359,0.313945964,0.398581000,0.247075878,-0.000798089,0.227215465
68.504000000,1779830080_5715,ann,False,True,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,1.485795282,0.578697431,1.485795282,0.578697431,2.526005221,2.341056533,2.639515971,0.059405685,first_gps,0.003839221,-0.137136925,1.000000000,0.000000000,26.441399030,0.001521457,-0.093501896,0.093514273,-0.000078872,0.276373121,0.276373132,-0.000157745,0.552746242,0.552746264,0.000987170,0.313997000,0.398636143,0.249056367,0.001236289,0.234111701
