stamp,source,gps_available,forced_dropout,model_loaded,model_ready,model_samples,ann_x,ann_y,output_x,output_y,odom_x,odom_y,gps_x,gps_y,origin_source,origin_x,origin_y
7.150000000,gps,True,False,True,True,188,1.814580347,0.212771760,1.836739302,0.089090560,2.204090143,-0.047751264,1.836739302,0.089090560,first_gps,0.062068549,0.034649841
7.200000000,gps,True,False,True,True,188,1.891854206,0.209574848,1.997261003,0.017956947,2.245281243,-0.048660191,1.997261003,0.017956947,first_gps,0.062068549,0.034649841
7.250000000,gps,True,False,True,True,188,1.946571376,0.212490390,1.897619271,0.196263437,2.307100216,-0.050001411,1.897619271,0.196263437,first_gps,0.062068549,0.034649841
7.300000000,gps,True,False,True,True,188,1.938919505,0.233284911,2.232094606,-0.095902652,2.368869020,-0.051292503,2.232094606,-0.095902652,first_gps,0.062068549,0.034649841
7.350000000,gps,True,False,True,True,188,2.028764337,0.152649087,2.037868441,0.072920411,2.410086300,-0.052115724,2.037868441,0.072920411,first_gps,0.062068549,0.034649841
7.406000000,gps,True,False,True,True,188,2.086223125,0.140335556,2.172676302,0.237780925,2.471882444,-0.053296995,2.172676302,0.237780925,first_gps,0.062068549,0.034649841
7.457000000,gps,True,False,True,True,188,2.039216758,0.233301741,2.098307708,0.188987918,2.513073133,-0.054092985,2.098307708,0.188987918,first_gps,0.062068549,0.034649841
7.504000000,gps,True,False,True,True,188,2.137636015,0.249073145,2.254543630,0.194666677,2.574896646,-0.055242440,2.254543630,0.194666677,first_gps,0.062068549,0.034649841
7.560000000,gps,True,False,True,True,188,2.245312792,0.199770021,2.197185940,-0.045795426,2.616104933,-0.055938512,2.197185940,-0.045795426,first_gps,0.062068549,0.034649841
7.607000000,gps,True,False,True,True,188,2.340350599,0.068265741,2.240878463,0.019521235,2.677900838,-0.056924518,2.240878463,0.019521235,first_gps,0.062068549,0.034649841
7.657000000,gps,True,False,True,True,188,2.355499665,0.228283842,2.265892778,0.123771609,2.719083692,-0.057568497,2.265892778,0.123771609,first_gps,0.062068549,0.034649841
7.702000000,gps,True,False,True,True,188,2.292920176,0.254938451,2.347894832,0.147957679,2.780893751,-0.058627208,2.347894832,0.147957679,first_gps,0.062068549,0.034649841
7.750000000,gps,True,False,True,True,188,2.296222301,0.254345368,2.391886934,-0.083035062,2.822077443,-0.059280377,2.391886934,-0.083035062,first_gps,0.062068549,0.034649841
7.801000000,gps,True,False,True,True,188,2.395993419,0.236392336,2.638876387,-0.039160564,2.863288520,-0.059878479,2.638876387,-0.039160564,first_gps,0.062068549,0.034649841
7.850000000,gps,True,False,True,True,188,2.446059619,0.238036934,2.457760817,-0.121096463,2.925096142,-0.060811283,2.457760817,-0.121096463,first_gps,0.062068549,0.034649841
7.900000000,gps,True,False,True,True,188,2.571099016,0.214657426,2.692287439,-0.065860162,2.966301636,-0.061455426,2.692287439,-0.065860162,first_gps,0.062068549,0.034649841
7.950000000,gps,True,False,True,True,188,2.483531019,0.232747210,2.645523152,-0.003631262,3.028134456,-0.062482049,2.645523152,-0.003631262,first_gps,0.062068549,0.034649841
8.000000000,gps,True,False,True,True,188,2.587066937,0.203149110,2.652560990,-0.084133022,3.069263238,-0.061106749,2.652560990,-0.084133022,first_gps,0.062068549,0.034649841
8.052000000,gps,True,False,True,True,188,2.669087261,0.269274356,2.849746083,0.049522553,3.130646507,-0.053959441,2.849746083,0.049522553,first_gps,0.062068549,0.034649841
8.101000000,gps,True,False,True,True,188,2.812354469,0.149755156,2.630645439,0.046916292,3.191031767,-0.040797937,2.630645439,0.046916292,first_gps,0.062068549,0.034649841
8.150000000,gps,True,False,True,True,188,2.784214964,0.247665932,2.834957319,-0.085312520,3.230455265,-0.028816570,2.834957319,-0.085312520,first_gps,0.062068549,0.034649841
8.200000000,gps,True,False,True,True,188,2.851453542,0.320133172,2.909997120,0.215739513,3.269004917,-0.014305510,2.909997120,0.215739513,first_gps,0.062068549,0.034649841
8.250000000,gps,True,False,True,True,188,2.942140554,0.337821156,2.722708395,0.120995373,3.324872908,0.012103807,2.722708395,0.120995373,first_gps,0.062068549,0.034649841
8.301000000,gps,True,False,True,True,188,2.943497392,0.334771848,3.021334550,-0.047552104,3.360500110,0.032771132,3.021334550,-0.047552104,first_gps,0.062068549,0.034649841
8.350000000,gps,True,False,True,True,188,3.014268526,0.411119741,2.780147987,0.127950689,3.411266524,0.068019353,2.780147987,0.127950689,first_gps,0.062068549,0.034649841
