stamp,ann_x,ann_y,kf2_x,kf2_y,output_x,output_y,alpha_ann,alpha_kf2,alpha_target,slip_latch_alpha,slip_latch_active,severe_slip_boost,severe_slip_boost_active,disagreement_boost,ann_kf2_disagreement,ann_kf2_disagreement_rate,fuzzy_input_error,velocity_error_baseline,baseline_initialized,velocity_error,velocity_error_raw,odom_speed,odom_vx,odom_vy,imu_raw_vx,imu_raw_vy,imu_vx,imu_vy
3.650000000,1.335262054,0.152226451,1.306374782,0.005442991,1.306374782,0.005442991,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.149598992,-0.206708736,0.000000000,0.133598454,True,0.132555602,0.195333748,0.879408411,0.879408411,0.000000000,0.734654458,-0.131154741,0.780340618,-0.088071335
3.700000000,1.353578476,0.146803082,1.478741543,-0.089706122,1.478741543,-0.089706122,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.267586242,2.359744990,0.002684920,0.133625438,True,0.136310358,0.201069456,0.879636205,0.879636205,0.000000000,0.738052798,-0.142769272,0.782713031,-0.095845773
3.750000000,1.356673766,0.143725715,1.478741543,-0.089706122,1.478741543,-0.089706122,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.263421648,-0.083291879,0.002143585,0.133646982,True,0.135790566,0.202743205,0.880113531,0.880113531,0.000000000,0.721691872,-0.126520295,0.772190007,-0.082411109
3.801000000,1.408846870,0.138910340,1.478741543,-0.089706122,1.478741543,-0.089706122,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.239062234,-0.477635563,0.004415273,0.133691356,True,0.138106629,0.208417880,0.879848987,0.879848987,0.000000000,0.718369749,-0.131766719,0.771517578,-0.085660647
3.850000000,1.505367476,0.154081199,1.559946388,-0.003823109,1.559946388,-0.003823109,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.167070729,-1.469214396,0.006048629,0.133752146,True,0.139800775,0.212037009,0.880244060,0.880244060,0.000000000,0.714051270,-0.131680104,0.769030038,-0.084709493
3.900000000,1.499501473,0.149297453,1.559946388,-0.003823109,1.559946388,-0.003823109,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.164619241,-0.049029763,0.005028605,0.133802684,True,0.138831288,0.213188515,0.880117885,0.880117885,0.000000000,0.715562677,-0.135539391,0.771775630,-0.086810613
3.950000000,1.509655660,0.148877883,1.548410711,-0.058597709,1.548410711,-0.058597709,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.211064150,0.928898181,0.006753265,0.133870555,True,0.140623820,0.217354580,0.880331078,0.880331078,0.000000000,0.719908675,-0.146654921,0.775141341,-0.093328335
4.000000000,1.472197905,0.138360204,1.743099162,-0.043457042,1.743099162,-0.043457042,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.326259102,2.303899049,0.008634389,0.133957332,True,0.142591721,0.221011293,0.880144099,0.880144099,0.000000000,0.715093545,-0.146984034,0.771815621,-0.092721840
4.051000000,1.493354678,0.136153087,1.743099162,-0.043457042,1.743099162,-0.043457042,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.307623318,-0.365407535,0.011391742,0.134071821,True,0.145463563,0.227695930,0.880132347,0.880132347,0.000000000,0.692833685,-0.129478367,0.757950617,-0.078938414
4.100000000,1.621507962,0.141191286,1.743099162,-0.043457042,1.743099162,-0.043457042,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.221086917,-1.766048998,0.011142889,0.134183809,True,0.145326698,0.229160106,0.879477780,0.879477780,0.000000000,0.704625032,-0.148124511,0.765131384,-0.089692534
