stamp,ekf_x,ekf_y,pseudo_x,pseudo_y,gps_x,gps_y,odom_x,odom_y,ann_x,ann_y,kf_imu_x,kf_imu_y,complementary_x,complementary_y,ekf_error_m,pseudo_error_m,odom_error_m,ann_error_m,kf_imu_error_m,complementary_error_m
34.040000000,1.847970649,-0.119219022,1.728522682,-0.131929030,1.915501345,-0.103980961,0.516068560,0.107296962,1.728522682,-0.131929030,1.762517375,-0.135584275,1.731756305,-0.125755237,0.069228560,0.189055851,1.415291659,0.189055851,0.156214163,0.185030697
34.120000000,1.926899297,-0.095902191,1.970884390,-0.035709760,2.030500353,-0.108347200,0.564321075,0.040499633,1.970884390,-0.035709760,1.864209363,-0.113827478,1.805244012,-0.127401648,0.104345853,0.093969467,1.473715391,0.093969467,0.166381269,0.226060813
34.240000000,2.020159238,-0.064328913,1.943179274,0.017892664,2.279737058,-0.209576673,0.636692495,-0.059722949,1.943179274,0.017892664,1.935525197,-0.086782149,1.895554330,-0.104864835,0.297451772,0.406218465,1.649864108,0.406218465,0.365459027,0.398197109
34.320000000,2.068417439,-0.039117483,2.014565227,0.057533043,2.193591056,-0.148266375,0.696965684,-0.143274440,2.014565227,0.057533043,2.003609047,-0.061487370,1.977842218,-0.075555531,0.166078039,0.272770321,1.496633698,0.272770321,0.208863016,0.227671755
34.440000000,2.157176952,-0.031249781,2.037335602,-0.060708600,2.557030123,-0.101836991,0.757197837,-0.226834514,2.037335602,-0.060708600,2.069763761,-0.056480354,2.036013243,-0.050302427,0.406035851,0.521319422,1.804167575,0.521319422,0.489372795,0.523559357
34.540000000,2.242337663,-0.025578799,2.095317989,-0.080315717,2.351677519,-0.206832392,0.817341752,-0.310484940,2.095317989,-0.080315717,2.141331575,-0.051871871,2.113470356,-0.043865067,0.211679166,0.285878781,1.537832922,0.285878781,0.261262663,0.288619128
34.620000000,2.298358992,-0.021161178,2.195133962,-0.093386458,2.319563410,-0.223745753,0.865558240,-0.377316785,2.195133962,-0.093386458,2.234491070,-0.043980892,2.191834619,-0.038725335,0.203691280,0.180211635,1.462092710,0.180211635,0.198878627,0.224827043
34.740000000,2.385128388,-0.008020219,2.301398516,-0.078137959,2.680591446,-0.086374869,0.948558148,-0.468685282,2.301398516,-0.078137959,2.304988621,-0.045846997,2.266425031,-0.032571035,0.305676087,0.379282382,1.773725062,0.379282382,0.377782994,0.417646588
34.840000000,2.467736542,0.009572152,2.433083143,-0.048792104,2.809275648,-0.146705861,1.030328276,-0.531166999,2.433083143,-0.048792104,2.378954173,-0.037119757,2.345058505,-0.026933608,0.375595232,0.388726002,1.820017615,0.388726002,0.444055949,0.479419387
34.940000000,2.553754449,0.032687112,2.479868665,-0.034220207,2.755806422,0.091882316,1.121260868,-0.579387266,2.479868665,-0.034220207,2.482399713,-0.014021909,2.423345358,-0.013773803,0.210544703,0.303386704,1.767015003,0.303386704,0.293201182,0.348846062
