stamp,ekf_x,ekf_y,pseudo_x,pseudo_y,gps_x,gps_y,reference_x,reference_y,truth_x,truth_y,evaluation_reference_source,evaluation_reference_x,evaluation_reference_y,odom_x,odom_y,ann_x,ann_y,kf_imu_x,kf_imu_y,complementary_x,complementary_y,final_x,final_y,ekf_error_x,ekf_error_y,ekf_error_m,pseudo_error_x,pseudo_error_y,pseudo_error_m,odom_error_x,odom_error_y,odom_error_m,ann_error_x,ann_error_y,ann_error_m,kf_imu_error_x,kf_imu_error_y,kf_imu_error_m,complementary_error_x,complementary_error_y,complementary_error_m,final_error_x,final_error_y,final_error_m
22.900000000,-0.811429957,1.387919584,-0.380333991,1.617623545,-0.949187338,1.405660135,-0.949187338,1.405660135,-0.812898464,1.401410945,truth,-0.812898464,1.401410945,-0.811234842,1.389458143,-0.380333991,1.617623545,-0.550737827,0.811404027,-0.664334332,1.175243937,-0.795102806,1.439886714,0.001468507,-0.013491361,0.013571047,0.432564473,0.216212600,0.483590645,0.001663622,-0.011952802,0.012068020,0.432564473,0.216212600,0.483590645,0.262160637,-0.590006918,0.645628657,0.148564132,-0.226167008,0.270597148,0.017795658,0.038475769,0.042391865
22.980000000,-0.821648383,1.355354241,-0.374129441,1.595410504,-0.699963791,1.437399085,-0.699963791,1.437399085,-0.823142384,1.369540886,truth,-0.823142384,1.369540886,-0.821228668,1.357519611,-0.374129441,1.595410504,-0.554435577,0.735904746,-0.681083892,1.099661805,-0.811429957,1.387919584,0.001494000,-0.014186644,0.014265094,0.449012942,0.225869619,0.502622828,0.001913716,-0.012021274,0.012172647,0.449012942,0.225869619,0.502622828,0.268706807,-0.633636140,0.688257296,0.142058492,-0.269879080,0.304984152,0.011712427,0.018378698,0.021793519
23.080000000,-0.833753901,1.316662658,-0.391076898,1.572615000,-0.798652837,1.451885390,-0.798652837,1.451885390,-0.837780335,1.323950926,truth,-0.837780335,1.323950926,-0.833182016,1.319210986,-0.391076898,1.572615000,-0.558684794,0.673399745,-0.690166588,1.014376993,-0.821648383,1.355354241,0.004026434,-0.007288268,0.008326526,0.446703438,0.248664074,0.511251194,0.004598320,-0.004739940,0.006603906,0.446703438,0.248664074,0.511251194,0.279095542,-0.650551181,0.707892054,0.147613747,-0.309573933,0.342966235,0.016131952,0.031403315,0.035304505
23.180000000,-0.845157382,1.280177353,-0.397462348,1.532848554,-0.933512064,1.330905269,-0.933512064,1.330905269,-0.847014395,1.295164369,truth,-0.847014395,1.295164369,-0.844495086,1.282948884,-0.397462348,1.532848554,-0.563839889,0.609427275,-0.690166588,1.014376993,-0.833753901,1.316662658,0.001857013,-0.014987016,0.015101628,0.449552046,0.237684185,0.508518254,0.002519309,-0.012215485,0.012472569,0.449552046,0.237684185,0.508518254,0.283174505,-0.685737094,0.741905090,0.156847806,-0.280787376,0.321625224,0.013260494,0.021498289,0.025259001
23.280000000,-0.855909303,1.245806818,-0.405613371,1.491877892,-0.837299498,1.308076120,-0.837299498,1.308076120,-0.860099413,1.254341247,truth,-0.860099413,1.254341247,-0.855215229,1.248657822,-0.405613371,1.491877892,-0.567960251,0.545972077,-0.704498636,0.944802314,-0.845157382,1.280177353,0.004190110,-0.008534429,0.009507549,0.454486043,0.237536646,0.512816947,0.004884185,-0.005683424,0.007493769,0.454486043,0.237536646,0.512816947,0.292139162,-0.708369170,0.766245503,0.155600778,-0.309538933,0.346447620,0.014942031,0.025836106,0.029845748
23.380000000,-0.866018638,1.213485729,-0.409904546,1.436361334,-0.895256849,1.139537423,-0.895256849,1.139537423,-0.868310132,1.228708352,truth,-0.868310132,1.228708352,-0.865299904,1.216335956,-0.409904546,1.436361334,-0.573018049,0.493785076,-0.711934777,0.895889447,-0.855909303,1.245806818,0.002291494,-0.015222623,0.015394128,0.458405586,0.207652982,0.503244913,0.003010228,-0.012372396,0.012733328,0.458405586,0.207652982,0.503244913,0.295292083,-0.734923276,0.792028811,0.156375355,-0.332818905,0.367724999,0.012400829,0.017098466,0.021121981
23.500000000,-0.877431761,1.176977773,-0.417958042,1.402385147,-0.851819948,1.252322841,-0.851819948,1.252322841,-0.880056639,1.192017243,truth,-0.880056639,1.192017243,-0.876777869,1.179553688,-0.417958042,1.402385147,-0.576693855,0.421189894,-0.719518343,0.853635403,-0.866018638,1.213485729,0.002624878,-0.015039470,0.015266815,0.462098597,0.210367904,0.507730016,0.003278770,-0.012463555,0.012887612,0.462098597,0.210367904,0.507730016,0.303362783,-0.770827349,0.828374179,0.160538295,-0.338381840,0.374532794,0.014038001,0.021468487,0.025650758
23.580000000,-0.884572096,1.154106933,-0.414419925,1.378412483,-0.812479339,1.300725422,-0.812479339,1.300725422,-0.887379743,1.169132394,truth,-0.887379743,1.169132394,-0.883918031,1.156622064,-0.414419925,1.378412483,-0.582346149,0.350758345,-0.721356246,0.817337812,-0.877431761,1.176977773,0.002807647,-0.015025461,0.015285528,0.472959817,0.209280090,0.517193527,0.003461711,-0.012510330,0.012980439,0.472959817,0.209280090,0.517193527,0.305033594,-0.818374049,0.873373676,0.166023496,-0.351794582,0.389002865,0.009947982,0.007845379,0.012669345
23.680000000,-0.893071535,1.126876894,-0.413800667,1.330530015,-0.918012865,1.099019912,-0.918012865,1.099019912,-0.896156156,1.141696449,truth,-0.896156156,1.141696449,-0.892486391,1.129119424,-0.413800667,1.330530015,-0.582877516,0.285875934,-0.729888955,0.763868059,-0.884572096,1.154106933,0.003084620,-0.014819555,0.015137176,0.482355489,0.188833566,0.518000901,0.003669764,-0.012577025,0.013101478,0.482355489,0.188833566,0.518000901,0.313278640,-0.855820515,0.911357372,0.166267201,-0.377828390,0.412794228,0.011584060,0.012410484,0.016976765
23.780000000,-0.901117844,1.101109746,-0.425419012,1.324331259,-1.026584303,1.154147611,-1.026584303,1.154147611,-0.904457724,1.115736361,truth,-0.904457724,1.115736361,-0.900599164,1.103102050,-0.425419012,1.324331259,-0.588116265,0.220438399,-0.733724806,0.719991433,-0.893071535,1.126876894,0.003339881,-0.014626615,0.015003089,0.479038712,0.208594898,0.522484373,0.003858561,-0.012634311,0.013210386,0.479038712,0.208594898,0.522484373,0.316341459,-0.895297962,0.949542184,0.170732919,-0.395744928,0.431003222,0.011386189,0.011140533,0.015929745
